"S","N","lambda","alpha","iter","N_mean","N_sd","N_2.5","N_50","N_97.5","N_Rhat","N_n.eff","a_mean","a_sd","a_2.5","a_50","a_97.5","a_Rhat","a_n.eff","l1_mean","l1_sd","l1_2.5","l1_50","l1_97.5","l1_Rhat","l1_n.eff","l2_mean","l2_sd","l2_2.5","l2_50","l2_97.5","l2_Rhat","l2_n.eff","l3_mean","l3_sd","l3_2.5","l3_50","l3_97.5","l3_Rhat","l3_n.eff","l4_mean","l4_sd","l4_2.5","l4_50","l4_97.5","l4_Rhat","l4_n.eff","l5_mean","l5_sd","l5_2.5","l5_50","l5_97.5","l5_Rhat","l5_n.eff","nbErrTot_mean","nbErrTot_sd","nbErrTot_2.5","nbErrTot_50","nbErrTot_97.5","nbErrTot_Rhat","nbErrTot_n.eff"
5,30,0.5,0.95,39,31.3983142857143,4.63980905549194,23,31,41,1,3547,0.927178747814205,0.0492911177364518,0.81404391252998,0.934519675187581,0.996433250186453,1,4371,0.535706718298684,0.152291678172407,0.288071044531004,0.518563019155548,0.881549623922613,1,11652,0.409217589661738,0.129108294789258,0.203209969933971,0.393587715843551,0.704514093613027,1,13923,0.472771630030016,0.140980838926278,0.245758705984337,0.456355309464253,0.793613818526524,1,12941,0.378135881446654,0.12335730457772,0.182903621023794,0.362785567487617,0.662685486850741,1,14960,0.44109663321708,0.135478483269979,0.225031746022594,0.424497718827693,0.750494915736578,1,12773,3.95506428571429,2.61610008737255,0,4,9,1,2912
5,30,0.5,0.95,40,29.5488571428571,2.48895562154511,25,29,35,1,8658,0.963085541493075,0.027168700431609,0.897864221076544,0.968351117668422,0.998343420180571,1,13508,0.592367776342772,0.148292694348323,0.340667369311379,0.579071312147575,0.917894755466938,1,51082,0.527705806842295,0.139299962382318,0.294075809382859,0.514367153158998,0.835708933460243,1,52786,0.625949844700707,0.152602824189848,0.366531232160159,0.612589278352125,0.961629851807696,1,46834,0.494815471938971,0.134539535171733,0.269846910318895,0.482136850068393,0.794220467924285,1,52574,0.757738798702248,0.17020282019588,0.466059915344766,0.743948425323361,1.12861438818383,1,41336,2.24433571428571,1.62591436213364,0,2,5,1,7320
5,30,0.5,0.95,41,29.0734714285714,2.78894763961843,24,29,35,1,6434,0.954861714278371,0.0312451074382054,0.881950348809149,0.960091475311381,0.997736680813556,1,9321,0.536160824573558,0.143577881005921,0.295815408284307,0.522186600569618,0.85657345371812,1,38821,0.56990482533596,0.148668355562279,0.320212872757789,0.556132224267383,0.897529243276934,1,34563,0.603425404688332,0.152826639846664,0.345694879504889,0.589336215368747,0.940880336883023,1,33265,0.636747961964795,0.158080158352827,0.369912431858438,0.622549915253722,0.986671777173856,1,34069,0.603546976682523,0.15314974961052,0.346258859238889,0.589478501083313,0.941172789636287,1,35753,2.83202142857143,1.86082952052154,0,3,6,1,5437
5,30,0.5,0.95,42,24.5336357142857,2.83111238185723,20,24,31,1,5635,0.94084900348952,0.0385206236478167,0.852795630308402,0.94621732078838,0.996452439945072,1,9542,0.634214416456306,0.17386588663158,0.34513278595286,0.616826460252185,1.02225357583247,1,28208,0.554524918637551,0.161588693855081,0.289333381727447,0.537745080202868,0.917532916381683,1,31198,0.47517474900266,0.147046924586038,0.23623828243558,0.458410006953908,0.808556396098714,1,32673,0.634158421649753,0.174067710358852,0.346293252266987,0.616205224572062,1.02377080180503,1,27555,0.633459808953317,0.173955562245833,0.346847017231646,0.615447380049214,1.02600338858942,1,27269,3.20312142857143,1.90272822229856,0,3,7,1,5253
5,30,0.5,0.95,43,23.92265,3.74427123980957,19,23,33,1.01,1600,0.859693782469113,0.0524933234442931,0.752238210559109,0.860969747815949,0.959737776673969,1,3430,0.613298868723012,0.180065218392959,0.316046712283333,0.595136535808168,1.0159455894638,1,6601,0.573159512354266,0.17332935637481,0.288728937434956,0.554916915615178,0.962267324609815,1,7238,0.614054832527929,0.180503485986212,0.316429374684617,0.595070647098394,1.01784108047933,1,6744,0.614952972980927,0.181167253952456,0.315678724256225,0.596128728988413,1.02116254352899,1,6994,0.858673349644886,0.22285458201463,0.482989513155677,0.838420826377592,1.35056905276573,1,5243,9.80663571428572,2.70498713012096,3,10,14,1,1645
5,30,0.5,0.95,44,32.5538857142857,2.78239776850929,28,32,39,1,15531,0.973543147184817,0.0235917704859911,0.912552800746272,0.980111753204599,0.999246987610534,1,24872,0.510259796699533,0.131334324796037,0.288236669379566,0.498397656604127,0.800507469119364,1,71294,0.539597631670112,0.134814259101927,0.309627723618498,0.527922174826368,0.836038575835529,1,69501,0.42006977498811,0.117911867443653,0.223350340584961,0.408463771495988,0.68117835001124,1,76236,0.360333264797084,0.108309883695947,0.18210434341654,0.348939411796529,0.602617993197957,1,86471,0.509719586444086,0.130944780993213,0.288490384699305,0.497474182306668,0.7987726025462,1,70970,0.987942857142857,1.11015726039152,0,1,4,1,12953
5,30,0.5,0.95,45,28.0443714285714,4.47292679171016,21,28,38,1,2029,0.901571222780802,0.0539820226291865,0.7864755786049,0.905487139882035,0.990925328796875,1,3131,0.246187340599304,0.101314404382253,0.0930777367025229,0.2311658729542,0.483560132956381,1,13933,0.493559907092559,0.153248858818326,0.248177128276333,0.475414920128208,0.841846063726167,1,7741,0.563187078842453,0.165538158401215,0.29485840564821,0.544493647294354,0.937508305059368,1,7207,0.528153189773468,0.158988382229538,0.271720958062372,0.509814953427927,0.889730678956058,1,7250,0.774131175210916,0.203215644699457,0.441272078451845,0.75250027664493,1.23033153588081,1,5794,5.97042142857143,2.92331643968519,0,6,11,1,1958
5,30,0.5,0.95,46,32.4667214285714,3.11096061555139,27,32,39,1,5826,0.956099357183552,0.030853805807988,0.883685054960396,0.961491693587717,0.997871491428345,1,7954,0.542077800141362,0.1377169547492,0.309341261822098,0.529643662813044,0.846473190490893,1,31777,0.512147663573848,0.133786319046622,0.288412875210622,0.499133997105746,0.809022422621697,1,33236,0.60246017550779,0.146442726176484,0.353682187620742,0.589311471980938,0.927049125951662,1,29235,0.693651658093472,0.158987140914275,0.422816525166137,0.679971170628564,1.0444408737087,1,27271,0.451978162687693,0.124606119931051,0.245264813531709,0.439634608273593,0.730975013677807,1,36507,2.96115,2.01469557049524,0,3,7,1,4737
5,30,0.5,0.95,47,29.6297357142857,4.60311136923068,22,29,39,1,3028,0.919166894221726,0.052212830511078,0.80188778079435,0.92591558084636,0.995422946929541,1,3952,0.500347672401692,0.150301660577269,0.258166601960451,0.483170309386391,0.842482290802105,1,10475,0.466742873886778,0.144409740318105,0.235880801780433,0.449343145559027,0.797791050295629,1,11565,0.267086445969591,0.103443725177157,0.108118467935969,0.252659189208893,0.508822130754665,1,16790,0.567594882289393,0.163504083134591,0.302718293360488,0.548026899850587,0.938126770023491,1,10020,0.500232608197127,0.150561281884344,0.259048545514523,0.482128879875299,0.845425001709901,1,10623,4.33502142857143,2.6788945833415,0,4,9,1,2617
5,30,0.5,0.95,48,31.1180928571429,2.74121725446521,26,31,37,1,6750,0.959375343789663,0.0283690738557942,0.892696952546295,0.964225328532044,0.9979943158238,1,10632,0.501754112476269,0.133269227332205,0.278564687881135,0.489257892204676,0.79671820051483,1,45452,0.752299318688599,0.167275140104217,0.465978890833146,0.738401298793875,1.11902443365759,1,34091,0.689728745217423,0.158584480263695,0.418854762551351,0.676018715307207,1.03814656675674,1,34731,0.56450960257838,0.141953040030085,0.32455424312491,0.551246946805805,0.878126504524959,1,37740,0.501258825011913,0.133088257602033,0.278332607164921,0.488576911353997,0.797196929685707,1,45828,2.77327142857143,1.84743566426595,0,3,6,1,5745
5,30,0.5,0.95,49,25.5440357142857,3.40407749992045,20,25,33,1,3972,0.923630335897433,0.0444463185233725,0.825844297484711,0.928144181769637,0.993634576789015,1,6284,0.458950151265903,0.145274153578068,0.225010317084953,0.442203846816053,0.788467875092733,1,20946,0.536086979335712,0.159551854534206,0.275759717424107,0.518004516108136,0.896487861370116,1,17416,0.574620655879794,0.1657348236555,0.303498424311005,0.556857632728671,0.947889460309603,1,15700,0.726758334473517,0.191143372922021,0.408743517663952,0.707434509161458,1.15186605667397,1,14227,0.574012186827975,0.16590138611882,0.302775255222977,0.556259299290649,0.947962651207964,1,16885,4.49915714285714,2.31086137406928,0,5,9,1,3570
5,30,0.5,0.95,50,32.3341,4.4457303522741,25,32,42,1,2289,0.912231007494974,0.0458510947662611,0.814898535121952,0.915446366466245,0.990130394255168,1,3357,0.396591153822087,0.122079233694505,0.1990830941468,0.382511769944279,0.673098285370835,1,11219,0.488103305543763,0.138786874594213,0.260280562957511,0.472686174788647,0.7995961376413,1,9324,0.549496177055746,0.149122612126385,0.302950745519815,0.533868179158072,0.882629230100515,1,9247,0.702250439793084,0.173612671331013,0.411720791254712,0.685165442513454,1.08816145329898,1,6968,0.609942636340494,0.158961639290612,0.345933907875781,0.593711260490244,0.965684428152443,1,7732,6.63092857142857,3.0216022350565,1,7,12,1,1927
